consequence	include
downstream_gene_variant	0
splice_region_variant&intron_variant&nc_transcript_variant	0
upstream_gene_variant	0
intron_variant&nc_transcript_variant	0
frameshift_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation	0
missense_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	0
intron_variant&feature_truncation	0
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&NMD_transcript_variant	0
coding_sequence_variant	1
intron_variant&nc_transcript_variant&feature_truncation	0
intron_variant&NMD_transcript_variant&feature_truncation	0
frameshift_variant&3_prime_UTR_variant&feature_truncation	0
frameshift_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_truncation	0
non_coding_exon_variant&nc_transcript_variant	0
splice_region_variant&synonymous_variant	1
non_coding_exon_variant&nc_transcript_variant&feature_truncation	0
inframe_deletion	1
splice_region_variant&intron_variant	1
5_prime_UTR_variant&feature_truncation	0
frameshift_variant&5_prime_UTR_variant&feature_truncation	0
splice_donor_variant	1
splice_donor_variant&nc_transcript_variant	0
mature_miRNA_variant	1
splice_region_variant&intron_variant&nc_transcript_variant&feature_truncation	0
coding_sequence_variant&intron_variant	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	1
intron_variant&non_coding_exon_variant&nc_transcript_variant	0
stop_gained	1
intron_variant	0
intron_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation	0
stop_lost&coding_sequence_variant&3_prime_UTR_variant&intron_variant&feature_truncation	1
transcript_ablation	1
splice_acceptor_variant&nc_transcript_variant	0
initiator_codon_variant	1
splice_region_variant&non_coding_exon_variant&nc_transcript_variant	0
missense_variant&splice_region_variant	1
3_prime_UTR_variant&NMD_transcript_variant&feature_truncation	0
frameshift_variant&feature_truncation	1
coding_sequence_variant&intron_variant&feature_truncation	1
coding_sequence_variant&3_prime_UTR_variant&intron_variant	1
intron_variant&NMD_transcript_variant	0
frameshift_variant&5_prime_UTR_variant&NMD_transcript_variant&feature_truncation	0
inframe_deletion&NMD_transcript_variant	0
splice_acceptor_variant&3_prime_UTR_variant&intron_variant&feature_truncation	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	0
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant	1
splice_region_variant&intron_variant&nc_transcript_variant&feature_elongation	0
splice_region_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
inframe_insertion	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant&feature_truncation	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
splice_acceptor_variant	1
splice_acceptor_variant&NMD_transcript_variant	0
missense_variant&NMD_transcript_variant	0
3_prime_UTR_variant&NMD_transcript_variant	0
5_prime_UTR_variant	0
frameshift_variant&stop_lost&feature_truncation	1
splice_region_variant&intron_variant&feature_truncation	1
splice_region_variant&intron_variant&feature_elongation	1
3_prime_UTR_variant&feature_truncation	0
5_prime_UTR_variant&intron_variant	0
stop_lost&initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant&NMD_transcript_variant	0
splice_donor_variant&NMD_transcript_variant	0
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	0
3_prime_UTR_variant	0
splice_region_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation	0
3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
missense_variant&splice_region_variant&NMD_transcript_variant	0
frameshift_variant&NMD_transcript_variant&feature_elongation	0
stop_gained&NMD_transcript_variant	0
stop_lost	1
